000100xxxxxxxxxxxxxxx10110000000 vsubcuw VREG,VREG,VREG
000100xxxxx00000xxxxx10110000001 bcdctsq. VREG,VREG
000100xxxxxxxxxxxxxxx10110000010 vavgsw VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10110000011 evmhessfanw GPR,GPR,GPR
000100xxxxxxxxxxxxxxx10110000100 vnand VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10110000101 evmhossianw GPR,GPR,GPR
000100xxxxxxxxxxxxxxx10110000110 udi6fcm. NUM,NUM,NUM
000100xxxxxxxxxxxxxxx10110000111 vcmpnezw. VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10110001000 evmheumianw GPR,GPR,GPR
000100xxxxxxxxxxxxxxx10110001001 evmhesmianw GPR,GPR,GPR
000100xxxxxxxxxxxxxxx10110001011 evmhesmfanw GPR,GPR,GPR
000100xxxxxxxxxxxxxxx10110101100 evmhogumian GPR,GPR,GPR
000100xxxxxxxxxxxxxxx10111000000 evmwlusianw GPR,GPR,GPR
000100xxxxxxxxxxxxxxx1x111000001 bcdsr. VREG,VREG,VREG,NUM
000100xxxxxxxxxxxxxxx10111000011 evmwlssfanw GPR,GPR,GPR
000100xxxxxxxxxxxxxxx10111000100 vsld VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10111000101 evmwhssian GPR,GPR,GPR
000100xxxxxxxxxxxxxxx10111000110 vcmpgefp. VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10111000111 udi7fcm NUM,NUM,NUM
000100xxxxxxxxxx0000010111001000 vsbox VREG,VREG
000100xxxxxxxxxxxxxxx10111001001 evmwlsmianw GPR,GPR,GPR
000100xxxxxxxxxxxxxxx10111001011 evmwlsmfanw GPR,GPR,GPR
000100xxxxxxxxxxxxxxx10111001100 vbpermd VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10111001110 vpksdss VREG,VREG,VREG
000100xxxxxxxxxxxxxxx10111010011 evmwssfan GPR,GPR,GPR
000100xxxxxxxxxxxxxxx11000000000 vsububs VREG,VREG,VREG
000100xxxxx00000xxxxx11000000010 vclzlsbb GPR,VREG
000100xxxxx000000000011000000100 mfvscr VREG
000100xxxxxxxxxxxxxxx11000000110 vcmpgtub. VREG,VREG,VREG
000100xxxxxxxxxxxxxxx11000000111 udi8fcm NUM,NUM,NUM
000100xxxxxxxxxxxxxxx11000001000 vsum4ubs VREG,VREG,VREG
000100xxxxxxxxxxxxxxx11000001101 vextublx GPR,GPR,VREG
000100xxxxxxxxxxxxxxx11001000000 vsubuhs VREG,VREG,VREG
0001000000000000xxxxx11001000100 mtvscr VREG
000100xxxxxxxxxxxxxxx11001000110 vcmpgtuh. VREG,VREG,VREG
000100xxxxxxxxxxxxxxx11001001000 vsum4shs VREG,VREG,VREG
000100xxxxxxxxxxxxxxx11001001001 udi9fcm NUM,NUM,NUM
000100xxxxxxxxxxxxxxx11001001101 vextuhlx GPR,GPR,VREG
000100xxxxx00000xxxxx11001001110 vupkhsw VREG,VREG
000100xxxxxxxxxxxxxxx11010000000 vsubuws VREG,VREG,VREG
000100xxxxxxxxxxxxxxx11010000010 vshasigmaw VREG,VREG,NUM,NUM
000100xxxxxxxxxxxxxxx11010000100 veqv VREG,VREG,VREG
000100xxxxxxxxxxxxxxx11010000110 vcmpgtuw. VREG,VREG,VREG
000100xxxxxxxxxxxxxxx11010000111 udi10fcm NUM,NUM,NUM
000100xxxxxxxxxxxxxxx11010001000 vsum2sws VREG,VREG,VREG
